run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-2-20230714-17:45:54-146859,runattr,,,configname,General,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,datetime,20230714-17:45:54,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,datetimef,20230714-174554,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,experiment,General,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,iterationvars,"$0=""RESSIoTSatelliteMac"", $1=""RESSIoTNodeMac"", $N=20",,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,iterationvarsd,RESSIoTSatelliteMac/RESSIoTNodeMac/N=20,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,iterationvarsf,"RESSIoTSatelliteMac,RESSIoTNodeMac,N=20-",,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,measurement,"$0=""RESSIoTSatelliteMac"", $1=""RESSIoTNodeMac"", $N=20",,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,processid,146859,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,repetition,0,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,replication,#0,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,resultdir,results,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,runnumber,2,,,,,,,,,,,
General-2-20230714-17:45:54-146859,runattr,,,seedset,2,,,,,,,,,,,
General-2-20230714-17:45:54-146859,itervar,,,N,20,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,image-path,../../images:../../../inet4.3/images,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,sim-time-limit,1000s,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,simtime-resolution,-11,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,**.vector-recording,true,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,**.ipv4Delayer.config,"xmldoc(""cloudDelays.xml"")",,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.LoRaMedium.pathLoss.typename,FreeSpacePathLoss,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.LoRaMedium.propagation.typename,DtSIoTPropagation,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.LoRaMedium.**.maxTransmissionDuration,4s,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.LoRaMedium.**.minInterferenceTime,0s,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,**.displayAddresses,false,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,,,,,,,,,,
General-2-20230714-17:45:54-146859,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,,,,,,,,,,
