run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,underflows,overflows,binedges,binvalues
General-0-20230707-14:12:34-40377,runattr,,,configname,General,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,datetime,20230707-14:12:34,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,datetimef,20230707-141234,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,experiment,General,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,inifile,omnetpp.ini,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,iterationvars,"$0=""avg""",,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,iterationvarsd,avg,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,iterationvarsf,avg-,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,measurement,"$0=""avg""",,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,processid,40377,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,repetition,0,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,replication,#0,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,resultdir,results,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,runnumber,0,,,,,,,,,,,
General-0-20230707-14:12:34-40377,runattr,,,seedset,0,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,image-path,../../images:../../../inet4.3/images,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,network,flora.simulations.satellitewired.FLoRaSatNetworkWired,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,sim-time-limit,1000s,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,simtime-resolution,-11,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,**.vector-recording,true,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,rng-class,cMersenneTwister,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,**.ipv4Delayer.config,"xmldoc(""cloudDelays.xml"")",,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.LoRaMedium.pathLoss.typename,FreeSpacePathLoss,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.LoRaMedium.propagation.typename,DtSIoTPropagation,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.LoRaMedium.**.maxTransmissionDuration,4s,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.LoRaMedium.**.minInterferenceTime,0s,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,**.displayAddresses,false,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.visualizer.*.radioVisualizer.displayAntennaLobes,true,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.visualizer.*.dataLinkVisualizer.displayLinks,true,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.visualizer.*.mobilityVisualizer.displayMovementTrails,true,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.visualizer.*.mobilityVisualizer.movementTrailLineWidth,1,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,*.visualizer.*.mobilityVisualizer.trailLength,3000,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,**.nrOfGW,1,,,,,,,,,,,
General-0-20230707-14:12:34-40377,config,,,**.loRaGW[*].**.initFromDisplayString,false,,,,,,,,,,,
